Bandwidth Burn v0.91 Output File


Assignment: Block Prefetch64, Step Size(B): 1, Iterations/step: 10
Date: 2/11/2005, Time: 6:12:25 PM

Size(kB)  Bandwidth(MB/s)
========  ===============
  1  	     6478
  2  	     5720
  3  	     5693
  4  	     5599
  5  	     5455
  6  	     5381
  7  	     5364
  8  	     5357
  9  	     5351
  10  	     5346
  11  	     5433
  12  	     5336
  13  	     5334
  14  	     5332
  15  	     5327
  16  	     5326
  17  	     5325
  18  	     5324
  19  	     5321
  20  	     5320
  21  	     5335
  22  	     5318
  23  	     5316
  24  	     5316
  25  	     5315
  26  	     5315
  27  	     5313
  28  	     5313
  29  	     5313
  30  	     5312
  31  	     5321
  32  	     5311
  33  	     5310
  34  	     5310
  35  	     5309
  36  	     5309
  37  	     5309
  38  	     5309
  39  	     5308
  40  	     5308
  41  	     5332
  42  	     5310
  43  	     5315
  44  	     5309
  45  	     5309
  46  	     5309
  47  	     5308
  48  	     5308
  49  	     5307
  50  	     5307
  51  	     5312
  52  	     5313
  53  	     5307
  54  	     5307
  55  	     5306
  56  	     5306
  57  	     5306
  58  	     5300
  59  	     5302
  60  	     5302
  61  	     5313
  62  	     5302
  63  	     5301
  64  	     5288
  65  	     5275
  66  	     5260
  67  	     5248
  68  	     5236
  69  	     5225
  70  	     5211
  71  	     5205
  72  	     5193
  73  	     5179
  74  	     5168
  75  	     5159
  76  	     5150
  77  	     5141
  78  	     5130
  79  	     5123
  80  	     5115
  81  	     5106
  82  	     5097
  83  	     5090
  84  	     5083
  85  	     5076
  86  	     5067
  87  	     5061
  88  	     5055
  89  	     5048
  90  	     5041
  91  	     5033
  92  	     5028
  93  	     5021
  94  	     5014
  95  	     5009
  96  	     5006
  97  	     5006
  98  	     5005
  99  	     5006
  100  	     5006
  101  	     5007
  102  	     5005
  103  	     5006
  104  	     5006
  105  	     5006
  106  	     5006
  107  	     5006
  108  	     5006
  109  	     5007
  110  	     5006
  111  	     5007
  112  	     5008
  113  	     5007
  114  	     5006
  115  	     5007
  116  	     5007
  117  	     5007
  118  	     4982
  119  	     4981
  120  	     4982
  121  	     4983
  122  	     4981
  123  	     4980
  124  	     4981
  125  	     4982
  126  	     4982
  127  	     4981
  128  	     4981
  129  	     4981
  130  	     4982
  131  	     4982
  132  	     4981
  133  	     4981
  134  	     4981
  135  	     4982
  136  	     4982
  137  	     4981
  138  	     4981
  139  	     4981
  140  	     4982
  141  	     4983
  142  	     4981
  143  	     4981
  144  	     4981
  145  	     4981
  146  	     4981
  147  	     4982
  148  	     4981
  149  	     4982
  150  	     4981
  151  	     4982
  152  	     4982
  153  	     4982
  154  	     4982
  155  	     4981
  156  	     4981
  157  	     4981
  158  	     4981
  159  	     4982
  160  	     4981
  161  	     4982
  162  	     4982
  163  	     4982
  164  	     4981
  165  	     4984
  166  	     4982
  167  	     4982
  168  	     4982
  169  	     4982
  170  	     4981
  171  	     4982
  172  	     4982
  173  	     4982
  174  	     4982
  175  	     4982
  176  	     4982
  177  	     4982
  178  	     4982
  179  	     4981
  180  	     4981
  181  	     4982
  182  	     4982
  183  	     4982
  184  	     4982
  185  	     4982
  186  	     4982
  187  	     4981
  188  	     4981
  189  	     4982
  190  	     4982
  191  	     4982
  192  	     4982
  193  	     4982
  194  	     4982
  195  	     4982
  196  	     4982
  197  	     4982
  198  	     4982
  199  	     4982
  200  	     4982
  201  	     4982
  202  	     4982
  203  	     4981
  204  	     4982
  205  	     4982
  206  	     4982
  207  	     4981
  208  	     4982
  209  	     4982
  210  	     4982
  211  	     4981
  212  	     4981
  213  	     4982
  214  	     4982
  215  	     4981
  216  	     4981
  217  	     4981
  218  	     4982
  219  	     4982
  220  	     4981
  221  	     4982
  222  	     4982
  223  	     4982
  224  	     4982
  225  	     4982
  226  	     4982
  227  	     4981
  228  	     4981
  229  	     4982
  230  	     4981
  231  	     4982
  232  	     4982
  233  	     4981
  234  	     4982
  235  	     4982
  236  	     4982
  237  	     4982
  238  	     4982
  239  	     4981
  240  	     4981
  241  	     4983
  242  	     4982
  243  	     4982
  244  	     4982
  245  	     4982
  246  	     4981
  247  	     4981
  248  	     4982
  249  	     4981
  250  	     4982
  251  	     4983
  252  	     4981
  253  	     4982
  254  	     4981
  255  	     4982
  256  	     4982
  257  	     4982
  258  	     4982
  259  	     4981
  260  	     4982
  261  	     4982
  262  	     4982
  263  	     4981
  264  	     4981
  265  	     4982
  266  	     4982
  267  	     4982
  268  	     4982
  269  	     4982
  270  	     4983
  271  	     4982
  272  	     4982
  273  	     4981
  274  	     4982
  275  	     4982
  276  	     4981
  277  	     4982
  278  	     4982
  279  	     4982
  280  	     4981
  281  	     4982
  282  	     4981
  283  	     4982
  284  	     4981
  285  	     4982
  286  	     4982
  287  	     4981
  288  	     4981
  289  	     4982
  290  	     4982
  291  	     4982
  292  	     4982
  293  	     4982
